date,OT,Radia,EquiT,EnvT,Press,Humility
2020/1/4 21:15,0,0,6.66468,8.6,1035.44892,70.7404
2020/1/4 21:30,0,0,6.66468,8.5,1035.44892,70.7404
2020/1/4 21:45,0,0,6.66468,8.4,1035.5499,70.7404
2020/1/4 22:00,0,0,6.95871,8.3,1035.24696,70.7404
2020/1/4 22:15,0,0,7.05672,8.2,1035.34794,70.7404
2020/1/4 22:30,0,0,7.15473,8.2,1035.24696,70.7404
2020/1/4 22:45,0,0,7.15473,8.1,1035.34794,71.7807
2020/1/4 23:00,0,0,7.25274,8,1035.34794,71.7807
2020/1/4 23:15,0,0,7.25274,7.9,1035.34794,72.821
2020/1/4 23:30,0,0,7.25274,7.8,1035.44892,72.821
2020/1/4 23:45,0,0,7.25274,7.7,1035.34794,72.821
2020/1/5 0:00,0,0,7.25274,7.7,1035.34794,73.8613
2020/1/5 0:15,0,0,7.35075,7.7,1035.14598,74.9016
